sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
AC;Deputado Federal;1000;ANTÔNIA LUCILEIA CRUZ RAMOS CAMARA;REPUBLICANOS;REPUBLICANOS;1;Eleito por QP;6;AC;10001619990;2040602022;16280
AC;Deputado Federal;1010;ROBERTO DUARTE JUNIOR;REPUBLICANOS;REPUBLICANOS;1;Eleito por média;6;AC;10001619993;2040602022;14522
AC;Deputado Federal;1022;KEILIANE NUNES DE MELO CORDEIRO;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;AC;10001619992;2040602022;10092
AC;Deputado Federal;1023;KATIANNY DA SILVA ARAÚJO;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;AC;10001619995;2040602022;90
AC;Deputado Federal;1044;EUDEMIR GOMES BEZERRA;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;AC;10001619996;2040602022;1649
AC;Deputado Federal;1080;GERALDO ISRAEL MILANI DE NOGUEIRA;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;AC;10001619994;2040602022;13464
AC;Deputado Federal;1090;DIEGO PABLO PAZ GOMES;REPUBLICANOS;REPUBLICANOS;1;Suplente;6;AC;10001619991;2040602022;1478
AC;Deputado Federal;1100;JOSÉ ADRIANO RIBEIRO DA SILVA;PP;PP;1;Suplente;6;AC;10001621649;2040602022;10623
AC;Deputado Federal;1101;MARIA DO SOCORRO NERI MEDEIROS DE SOUZA;PP;PP;1;Eleito por QP;6;AC;10001621643;2040602022;25842
AC;Deputado Federal;1106;SAMIR FIGUEIREDO BESTENE;PP;PP;1;Suplente;6;AC;10001621645;2040602022;7436
AC;Deputado Federal;1111;GEHLEN DINIZ ANDRADE;PP;PP;1;Eleito por média;6;AC;10001621650;2040602022;19560
AC;Deputado Federal;1122;JOSÉ ESTEPHAN BARBARY FILHO;PP;PP;1;Eleito por média;6;AC;10001621646;2040602022;19958
AC;Deputado Federal;1123;ELIATIAN DA SILVA NOGUEIRA;PP;PP;1;Suplente;6;AC;10001621647;2040602022;2258
AC;Deputado Federal;1133;MARIA SOCORRO SOARES DE OLIVEIRA;PP;PP;1;Suplente;6;AC;10001621644;2040602022;883
AC;Deputado Federal;1144;EDSON BRAGA RODRIGUES;PP;PP;1;Suplente;6;AC;10001621651;2040602022;4097
AC;Deputado Federal;1177;GIRLENE DA SILVA TEIXEIRA;PP;PP;1;Suplente;6;AC;10001621648;2040602022;647
AC;Deputado Federal;1200;MARIA ROSILENE DANTAS BARROS;PDT;PDT;1;Não eleito;6;AC;10001622406;2040602022;165
AC;Deputado Federal;1212;JESUS SERGIO DE MENEZES;PDT;PDT;1;Não eleito;6;AC;10001622408;2040602022;9536
AC;Deputado Federal;1221;MARIA DE JESUS GOMES DA SILVA CAVALCANTE;PDT;PDT;1;Não eleito;6;AC;10001622411;2040602022;681
AC;Deputado Federal;1222;RALPH LUIS DO NASCIMENTO FERNANDES;PDT;PDT;1;Não eleito;6;AC;10001622407;2040602022;1087
AC;Deputado Federal;1223;ADRIANA DA SILVA MELO;PDT;PDT;1;Não eleito;6;AC;10001622413;2040602022;420
AC;Deputado Federal;1225;RAYNER DE ARAUJO NERI;PDT;PDT;1;Não eleito;6;AC;10001622405;2040602022;314
AC;Deputado Federal;1227;EMIR JOSE NOGUEIRA MENDONÇA;PDT;PDT;1;Não eleito;6;AC;10001622409;2040602022;524
AC;Deputado Federal;1234;JORGE LUIS SILVA E SILVA;PDT;PDT;1;Não eleito;6;AC;10001622410;2040602022;883
AC;Deputado Federal;1277;ORLEILSON GONÇALVES CAMELI;PDT;PDT;1;Não eleito;6;AC;10001622412;2040602022;5973
AC;Deputado Federal;1300;MARIA SANTIAGO DE LIMA;PT;PT / PV / PC do B;1;Não eleito;6;AC;10001614198;2040602022;899
AC;Deputado Federal;1312;HENRY ANTÔNIO SILVA NOGUEIRA;PT;PT / PV / PC do B;1;Não eleito;6;AC;10001613551;2040602022;1042
AC;Deputado Federal;1313;FRANCIMAR FERNANDES DE ALBUQUERQUE;PT;PT / PV / PC do B;1;Não eleito;6;AC;10001614195;2040602022;3893
AC;Deputado Federal;1314;IRENÍ HERCULANO UCHÔA MOURA;PT;PT / PV / PC do B;1;Não eleito;6;AC;10001614196;2040602022;464
AC;Deputado Federal;1331;LEONARDO CUNHA DE BRITO;PT;PT / PV / PC do B;1;Não eleito;6;AC;10001613550;2040602022;12304
AC;Deputado Federal;1500;WHERLES FERNANDES DA ROCHA;MDB;MDB;1;Não eleito;6;AC;10001642339;2040602022;5632
AC;Deputado Federal;1505;EDITH MONTES DO NASCIMENTO DE QUEIROIS;MDB;MDB;1;Não eleito;6;AC;10001724875;2040602022;88
AC;Deputado Federal;1507;ALDA RADINE CASTRO DE ANDRADE NERY;MDB;MDB;1;Não eleito;6;AC;10001642336;2040602022;32
AC;Deputado Federal;1512;AMARALDO PASCOAL UCHOA PINHEIRO;MDB;MDB;1;Não eleito;6;AC;10001642337;2040602022;353
AC;Deputado Federal;1515;JESSICA ROJAS SALES;MDB;MDB;1;Não eleito;6;AC;10001642333;2040602022;20500
AC;Deputado Federal;1555;FLAVIANO FLAVIO BAPTISTA DE MELO;MDB;MDB;1;Não eleito;6;AC;10001642332;2040602022;7406
AC;Deputado Federal;1567;RAPHAEL LUIZ BASTOS JUNIOR;MDB;MDB;1;Não eleito;6;AC;10001642334;2040602022;3017
AC;Deputado Federal;1568;JEFFERSON MONTEIRO SOARES;MDB;MDB;1;Não eleito;6;AC;10001642338;2040602022;201
AC;Deputado Federal;1569;FRANCISCO HAMILTON D' AVILA LUCENA;MDB;MDB;1;Não eleito;6;AC;10001642335;2040602022;694
AC;Deputado Federal;1800;IUNA BARROS CHAVES;REDE;REDE / PSOL;1;Não eleito;6;AC;10001670806;2040602022;107
AC;Deputado Federal;1818;NINAWA INU PEREIRA NUNES HUNI KUI;REDE;REDE / PSOL;1;Não eleito;6;AC;10001595345;2040602022;2794
AC;Deputado Federal;1900;ARTUR LIBORINIO DOS SANTOS LIMA NETO;PODE;PODE;1;Não eleito;6;AC;10001655721;2040602022;3328
AC;Deputado Federal;1909;IZABELLE ARAÚJO DO NASCIMENTO;PODE;PODE;1;Não eleito;6;AC;10001655718;2040602022;1921
AC;Deputado Federal;1910;LUDMILLA CRISTINA FERNANDES CAVALCANTE;PODE;PODE;1;Não eleito;6;AC;10001655723;2040602022;1153
AC;Deputado Federal;1911;LEILA MARIA HOLANDA DA CONCEIÇÃO;PODE;PODE;1;Não eleito;6;AC;10001655722;2040602022;1061
AC;Deputado Federal;1919;RODRIGO DAMASCENO CATAO;PODE;PODE;1;Não eleito;6;AC;10001655720;2040602022;5919
AC;Deputado Federal;1920;LUIZ GONZAGA DE LIMA REGO;PODE;PODE;1;Não eleito;6;AC;10001655719;2040602022;731
