sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Estadual;51001;ANDRÉ LUIZ GALHARDO JOÃO;PATRIOTA;PATRIOTA;1;Não eleito;7;SP;250001621462;2040602022;318
SP;Deputado Estadual;20007;JOEL BATISTA RAMOS;PSC;PSC;1;Suplente;7;SP;250001643764;2040602022;4581
SP;Deputado Estadual;27866;ANTÔNIO ROCHA DOS SANTOS;DC;DC;1;Não eleito;7;SP;250001692534;2040602022;195
SP;Deputado Estadual;18456;ANDRE RICARDO DE SOUZA;REDE;REDE / PSOL;1;Suplente;7;SP;250001619332;2040602022;600
SP;Deputado Estadual;35059;MARCO ANTONIO SARTI;PMB;PMB;1;Não eleito;7;SP;250001642236;2040602022;0
SP;Deputado Estadual;19054;ARLINDO AMARO DOS SANTOS;PODE;PODE;1;Suplente;7;SP;250001610513;2040602022;134
SP;Deputado Estadual;36004;ALESSANDRO CAMARGO RODRIGUES;AGIR;AGIR;1;Não eleito;7;SP;250001721334;2040602022;710
SP;Deputado Estadual;40040;MAYARA OLIVEIRA TORRES DA SILVA;PSB;PSB;1;Suplente;7;SP;250001620589;2040602022;7972
SP;Deputado Estadual;55789;NÚBIA CRISTINA SILVÉRIO;PSD;PSD;1;Suplente;7;SP;250001605002;2040602022;216
SP;Deputado Estadual;28022;PAULO ROBERTO DIAS PEREIRA;PRTB;PRTB;1;Não eleito;7;SP;250001699852;2040602022;5814
SP;Deputado Estadual;12422;GILMAR FERNANDES DE MELO;PDT;PDT;1;Suplente;7;SP;250001643680;2040602022;194
SP;Deputado Estadual;13713;ROMULO ORNELAS DE OLIVEIRA;PT;PT / PV / PC do B;1;Suplente;7;SP;250001611806;2040602022;26203
SP;Deputado Estadual;28741;JOSÉ MACENA DA SILVA FILHO;PRTB;PRTB;1;Não eleito;7;SP;250001699835;2040602022;366
