sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Federal;1611;RENATO BENEDUCI ASSAD;PSTU;PSTU;1;Não eleito;6;SP;250001611410;2040602022;477
SP;Deputado Federal;4070;FABIO DEFOURNY MARTINS;PSB;PSB;1;Suplente;6;SP;250001620290;2040602022;5656
SP;Deputado Federal;2049;JERRI ADRIANO FERREIRA DA SILVA;PSC;PSC;1;Suplente;6;SP;250001643916;2040602022;210
SP;Deputado Federal;1141;DIEGO ARAUJO AGIANI;PP;PP;1;Suplente;6;SP;250001612005;2040602022;2604
SP;Deputado Federal;7014;CARLOS ANDRÉ FURTADO;AVANTE;AVANTE;1;Não eleito;6;SP;250001622050;2040602022;0
SP;Deputado Federal;2886;ANDERSON GOMES DE CAMPOS;PRTB;PRTB;1;Não eleito;6;SP;250001715858;2040602022;0
SP;Deputado Federal;5090;RICARDO URIZZI CARVALHO;PSOL;REDE / PSOL;1;Suplente;6;SP;250001613807;2040602022;2776
SP;Deputado Federal;4572;SILVIA SAMPAIO SALES SANTOS;PSDB;CIDADANIA / PSDB;1;Suplente;6;SP;250001612108;2040602022;684
SP;Deputado Federal;7006;MARTA MARIA FERREIRA ARAÚJO;AVANTE;AVANTE;1;Não eleito;6;SP;250001622104;2040602022;293
SP;Deputado Federal;1393;CLAUDIO BISPO;PT;PT / PV / PC do B;1;Suplente;6;SP;250001610700;2040602022;8785
SP;Deputado Federal;2897;THAIS ALBERTINA DA CRUZ;PRTB;PRTB;1;Não eleito;6;SP;250001715891;2040602022;7
SP;Deputado Federal;1464;HUGO GOMES PAIVA;PTB;PTB;1;Não eleito;6;SP;250001604865;2040602022;186
SP;Deputado Federal;1928;ROSA ALVES CARDOSO;PODE;PODE;1;Suplente;6;SP;250001610269;2040602022;115
SP;Deputado Federal;3337;FRANCIELLE LUZIA DE SOUZA DURAN;PMN;PMN;1;Não eleito;6;SP;250001613954;2040602022;84
SP;Deputado Federal;2979;RIVALDO DOS SANTOS SILVA;PCO;PCO;1;Não eleito;6;SP;250001700012;2040602022;76
SP;Deputado Federal;9039;ROSNAY LUCAS BERNARDES;PROS;PROS;1;Não eleito;6;SP;250001677916;2040602022;35
SP;Deputado Federal;5586;ALESSANDRO RUIZ MARTINEZ;PSD;PSD;1;Suplente;6;SP;250001604969;2040602022;8626
SP;Deputado Federal;3621;JONAS AUGUSTO MIGUEL MACHADO;AGIR;AGIR;1;Não eleito;6;SP;250001717183;2040602022;133
