sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Senador;211;TITO FLAVIO BELLINI NOGUEIRA DE OLIVEIRA;PCB;PCB;1;Não eleito;5;SP;250001649420;2040602022;59449
SP;Senador;270;MARCO ANTONIO AZKOUL;DC;DC;1;Não eleito;5;SP;250001693450;2040602022;19337
SP;Senador;123;JOSÉ ALDO REBELO FIGUEIREDO;PDT;PDT;1;Não eleito;5;SP;250001639699;2040602022;230833
SP;Senador;800;VIVIAN MENDES DA SILVA;UP;UP;1;Não eleito;5;SP;250001602002;2040602022;280460
SP;Senador;287;JANAINA CONCEIÇÃO PASCHOAL;PRTB;PRTB;1;Não eleito;5;SP;250001619910;2040602022;447550
SP;Senador;290;ANTÔNIO CARLOS SILVA;PCO;PCO;1;Não eleito;5;SP;250001652585;2040602022;0
SP;Senador;300;RICARDO LUIS MELLÃO;NOVO;NOVO;1;Não eleito;5;SP;250001597895;2040602022;311321
SP;Senador;222;MARCOS CESAR PONTES;PL;PTB / PSD / PSC / PMN / PL / REPUBLICANOS;1;Eleito;5;SP;250001612472;2040602022;10714913
SP;Senador;400;MÁRCIO LUIZ FRANÇA GOMES;PSB;(PT/PC do B/PV) / AGIR / (PSOL/REDE) / PSB;1;Não eleito;5;SP;250001615891;2040602022;7822518
SP;Senador;161;LUIZ CARLOS PRATES;PSTU;PSTU;1;Não eleito;5;SP;250001610580;2040602022;14598
SP;Senador;155;EDSON APARECIDO DOS SANTOS;MDB;(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE;1;Não eleito;5;SP;250001612459;2040602022;1655224
