"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"ANTONIO CARLOS DE OLIVEIRA";"A.C.";"Deputado Federal";4017;"PSB";"PSB";"Deferido";"Suplente"
"ABNER JOAS TOFANELLI";"ABNER TOFANELLI";"Deputado Federal";1250;"PDT";"PDT";"Deferido";"Não eleito"
"PAULO SERGIO ABOU ANNI";"ABOU ANNI";"Deputado Federal";4410;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"ABRAHAM BRAGANÇA DE VASCONCELLOS WEINTRAUB";"ABRAHAM WEINTRAUB";"Deputado Federal";3501;"PMB";"PMB";"Deferido";"Não eleito"
"ADALBERTO FELICIO MALUF FILHO";"ADALBERTO MALUF";"Deputado Federal";4344;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"ADAMARIO MAXIMO DOS SANTOS FILHO";"ADAMARIO MAXIMO";"Deputado Federal";3008;"NOVO";"NOVO";"Deferido";"Suplente"
"ADAUTO BENTIVEGNA FILHO";"ADAUTO";"Deputado Federal";7025;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"ADELAIDE CASTRO DE OLIVEIRA";"ADELAIDE OLIVEIRA";"Deputado Federal";1904;"PODE";"PODE";"Deferido";"Suplente"
"ADELSON DE SOUZA PENHA";"ADELSON DE SOUZA PENHA";"Deputado Federal";3606;"AGIR";"AGIR";"Deferido";"Não eleito"
"ADEMILSON DA CONCEIÇÃO CUNHA";"ADEMILSON CUNHA";"Deputado Federal";1095;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Suplente"
"ADEMIR DA PENHA CLEMENTE";"ADEMIR CLEMENTE";"Deputado Federal";2874;"PRTB";"PRTB";"Deferido";"Não eleito"
"ADEMIR RODRIGUES PEREIRA";"ADEMIR PEREIRA";"Deputado Federal";7036;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"ADÉRITO CÁSSIO DE ASSIS DUTRA";"ADÉRITO DUTRA";"Deputado Federal";5080;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"ADEVAR CAMPANA";"ADEVAR CAMPANA";"Deputado Federal";5180;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"ADILSON BARROSO OLIVEIRA";"ADILSON BARROSO";"Deputado Federal";2251;"PL";"PL";"Deferido";"Suplente"
"ADILSON DE BRITO FARIAS";"ADILSON FARIAS";"Deputado Federal";3004;"NOVO";"NOVO";"Deferido";"Suplente"
"ADONIAS FERREIRA DOS SANTOS";"ADO SANTOS";"Deputado Federal";2804;"PRTB";"PRTB";"Indeferido";"Não eleito"
"ADRIANA RAMOS AFONSO EL RIFAI";"ADRIANA AFONSO";"Deputado Federal";1422;"PTB";"PTB";"Renúncia";"Não eleito"
"ADRIANA ALVES DA SILVA RAMALHO";"ADRIANA RAMALHO";"Deputado Federal";5522;"PSD";"PSD";"Deferido";"Suplente"
